time,acc x,acc y, acc z,gyro x, gyro y,gyro z
3033,-27,-46,990,70,210,-140
3133,-26,-47,989,140,210,-140
3234,-27,-47,987,70,210,-210
3334,-26,-46,988,70,140,-140
3433,-27,-46,988,70,280,-140
3534,-27,-46,989,70,210,-210
3633,-27,-46,989,70,280,-140
3733,-27,-46,990,70,140,-140
3834,-26,-46,989,140,210,-140
3933,-27,-47,989,70,210,-140
4033,-26,-46,990,70,210,-140
4134,-27,-45,990,140,210,-140
4233,-26,-46,990,140,280,-140
4333,-27,-46,990,70,210,-140
4434,-26,-46,990,70,280,-140
4533,-27,-46,989,140,210,-210
4633,-27,-46,989,140,210,-140
4734,-27,-46,990,140,210,-210
4833,-27,-46,989,140,280,-140
4933,-26,-46,989,70,210,-140
5034,-26,-46,989,70,140,-210
5134,-27,-46,989,0,280,-210
5233,-26,-46,989,70,210,-140
5334,-27,-45,990,70,280,-140
5434,-27,-45,991,140,140,-140
5533,-26,-45,990,0,280,-140
5634,-27,-47,991,140,210,-210
5734,-26,-46,990,0,210,-140
5833,-27,-47,989,140,70,-210
5934,-27,-46,989,140,280,-140
6033,-27,-46,990,140,140,-140
6133,-27,-46,990,70,280,-140
6234,-26,-46,989,70,140,-140
6333,-27,-46,989,140,210,-140
6433,-26,-46,989,140,140,-140
6534,-27,-46,989,70,210,-140
6633,-27,-47,990,70,210,-140
6733,-26,-46,990,70,210,-70
6834,-26,-47,990,140,140,-140
6933,-26,-46,989,70,210,-140
7034,-27,-46,989,0,210,-210
7134,-26,-46,990,140,210,-210
7233,-27,-46,990,140,210,-140
7334,-26,-46,989,140,210,-140
7433,-26,-46,990,140,280,-140
7533,-27,-46,990,70,210,-140
7634,-27,-46,988,140,210,-140
7733,-26,-47,989,140,140,-140
7833,-26,-46,989,140,280,-140
7934,-26,-46,989,70,210,-140
8033,-27,-46,990,140,210,-140
8133,-26,-46,989,70,210,-210
8234,-26,-47,989,70,210,-140
8333,-26,-45,990,70,210,-210
8433,-26,-46,991,140,210,-140
8534,-27,-46,990,70,210,-140
8633,-27,-46,989,140,210,-140
8733,-26,-46,989,140,210,-140
8834,-26,-46,989,140,140,-210
8933,-27,-47,989,210,210,-140
9034,-26,-46,989,140,210,-140
9134,-26,-46,990,140,210,-140
9233,-27,-46,990,70,210,-140
9334,-27,-47,989,140,140,-140
9434,-27,-46,989,70,210,-140
9533,-26,-46,988,70,140,-140
9634,-26,-46,990,70,280,-210
9733,-27,-46,990,70,140,-140
9833,-25,-45,990,70,210,-140
9934,-27,-46,990,70,210,-140
10033,-26,-47,989,140,210,-210
10133,-27,-46,990,140,210,-140
10234,-27,-46,989,210,210,-210
10333,-26,-45,990,140,210,-70
10434,-27,-46,990,140,210,-140
10534,-27,-47,989,70,210,-210
10633,-26,-47,990,70,210,-140
10734,-27,-46,989,70,210,-140
10834,-27,-46,988,140,280,-140
10933,-26,-46,990,140,140,-210
11034,-26,-46,990,70,210,-210
11133,-27,-47,990,70,210,-140
11233,-27,-46,990,70,280,-140
11334,-27,-45,990,140,210,-140
11433,-27,-47,990,140,210,-70
11533,-26,-45,989,70,210,-140
11634,-26,-46,990,70,280,-140
11733,-26,-46,988,70,140,-140
11834,-27,-46,989,70,210,-140
11934,-26,-47,989,70,280,-140
12033,-27,-45,988,70,140,-70
12134,-27,-46,989,70,210,-140
12234,-26,-46,990,140,210,-140
12333,-27,-47,989,70,280,-210
12434,-26,-46,989,70,210,-140
12533,-26,-46,989,70,210,-140
12633,-26,-46,990,70,140,-140
12734,-26,-46,990,140,210,-140
12833,-27,-46,990,140,140,-140
12933,-27,-46,988,140,280,-140
13034,-27,-47,988,70,70,-140
13133,-27,-46,989,70,280,-140
13234,-27,-46,988,140,210,-210
13334,-26,-46,990,140,210,-140
13433,-27,-46,989,70,210,-210
13534,-27,-46,989,140,210,-140
13633,-27,-46,990,140,140,-140
13733,-27,-46,989,70,210,-140
13834,-27,-46,990,70,280,-140
13933,-26,-46,989,140,210,-210
14033,-27,-46,989,140,210,-140
14134,-26,-46,990,70,210,-140
14233,-27,-46,989,70,280,-140
14334,-26,-46,990,70,210,-140
14434,-26,-46,990,140,210,-140
14533,-26,-47,989,70,210,-140
14634,-27,-46,989,140,140,-140
14733,-26,-46,989,70,210,-140
14833,-26,-46,989,70,210,-140
14934,-26,-46,988,140,140,-140
15033,-27,-46,989,70,210,-140
15133,-26,-46,990,70,210,-140
15234,-27,-46,989,140,210,-140
15333,-27,-46,990,70,280,-210
15434,-27,-46,989,70,140,-210
15534,-26,-46,989,70,210,-140
15633,-26,-46,990,70,210,-140
15734,-26,-47,989,70,210,-140
15833,-27,-47,990,70,210,-140
15933,-26,-46,988,70,210,-140
16034,-27,-47,990,70,210,-140
16133,-26,-46,989,70,140,-210
16233,-27,-46,989,140,140,-210
16334,-27,-47,989,70,210,-140
16433,-27,-46,989,140,210,-140
16534,-26,-46,990,70,280,-210
16634,-27,-47,989,140,210,-140
16733,-27,-46,991,140,210,-210
16834,-26,-46,990,70,210,-140
